number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
25	0.03728745863288828	2020-03-27 05:15:11.199553	2020-03-27 05:42:10.615075	0.7502292841744094	11.829434430661834	128	1	39	0.0016455666480581317	128	0.6433901753562866	0.005135227661759671	0.03728745863288828	0.009528700216820724	0.015776560538628324	4570.401959945224	0.016318221685427715	0.005135227661759671	0.03728745863288828	0.009528700216820724	0.015776560538628324	4570.399634828255	0.016318222096909498	2513618026	200	0.005135227661759671	0.03728745863288828	0.009528700216820724	0.015776560538628324	4570.404285062194	0.016318221274546234	25	COMPLETE
26	0.08025219673627754	2020-03-27 05:42:10.712245	2020-03-27 06:37:55.503257	0.38736576296740777	6.955940189494452	256	1	42	0.028465314606858562	128	0.19382069424667883	0.005135227661759671	0.08025219673627754	0.02387880862718247	0.042137395868994634	1352.9953782951045	0.033577242514486606	0.005135227661759671	0.08025219673627754	0.02387880862718247	0.042137395868994634	1352.9947791852105	0.033577243076196264	1162090870	350	0.005135227661759671	0.08025219673627754	0.02387880862718247	0.042137395868994634	1352.9959774049983	0.03357724195426057	26	COMPLETE
27	0.013836585644185781	2020-03-27 06:37:55.587506	2020-03-27 06:56:24.974810	0.5488943159837789	6.415997930165024	128	2	20	0.07230147219698684	128	0.4684292279274435	0.005135227661759671	0.013836585644185781	0.007217847769028871	0.009100764578340751	3314.998430902659	0.010668058033064334	0.005135227661759671	0.013836585644185781	0.007217847769028871	0.009100764578340751	3314.996918863403	0.010668066128519312	162467591	150	0.005135227661759671	0.013836585644185781	0.007217847769028871	0.009100764578340751	3314.999942941915	0.010668050088003948	27	COMPLETE
28	0.016404199475065617	2020-03-27 06:56:25.057689	2020-03-27 07:32:09.154363	0.17259459867008575	16.855351611260282	64	1	47	0.0012192126517988728	128	0.7358521757738836	0.005135227661759671	0.016404199475065617	0.006704325002852904	0.009100764578340751	5236.534933812622	0.010361984969367268	0.005135227661759671	0.016404199475065617	0.006704325002852904	0.009100764578340751	5236.533493095972	0.010361987598283391	1995337013	250	0.005135227661759671	0.016404199475065617	0.006704325002852904	0.009100764578340751	5236.536374529271	0.010361982369903109	28	COMPLETE
29	0.014749515006276389	2020-03-27 07:32:09.244146	2020-03-27 07:47:16.316892	0.7124329038132348	13.757125819516435	128	1	84	0.006638327507571923	256	0.49555134105137033	0.005135227661759671	0.014749515006276389	0.007103731598767545	0.00927193883373274	3512.834716991898	0.011313460595368202	0.005135227661759671	0.014749515006276389	0.007103731598767545	0.00927193883373274	3512.8335045075887	0.011313476702829488	3960857248	200	0.005135227661759671	0.014749515006276389	0.007103731598767545	0.00927193883373274	3512.8359294762067	0.011313444926833695	29	COMPLETE
30	0.005391989044847655	2020-03-27 07:47:16.417932	2020-03-27 08:05:47.282691	0.3689276130910236	27.67474581438687	128	2	20	0.003573985118357245	128	1.0269510844768057	0.005135227661759671	0.005391989044847655	0.005135227661759671	0.005277872874586329	7337.878123930161	0.005625135645140806	0.005135227661759671	0.005391989044847655	0.005135227661759671	0.005277872874586329	7337.872617824946	0.005625137462938887	3604440277	150	0.005135227661759671	0.005391989044847655	0.005135227661759671	0.005277872874586329	7337.883630035376	0.005625133839503184	30	COMPLETE
31	0.06652972726235308	2020-03-27 08:05:47.364305	2020-03-27 08:25:03.499318	0.6230676655387624	10.097049765778316	256	1	64	0.05360193444810747	512	0.16017402492502944	0.005135227661759671	0.06652972726235308	0.020540910647038686	0.034149263950701815	1116.3734023736163	0.030721790615964494	0.005135227661759671	0.06652972726235308	0.020540910647038686	0.034149263950701815	1116.3729601734565	0.030721791922498937	346902927	300	0.005135227661759671	0.06652972726235308	0.020540910647038686	0.034149263950701815	1116.373844573776	0.030721789315154274	31	COMPLETE
32	0.005991098938719616	2020-03-27 08:25:03.597107	2020-03-27 08:43:26.167918	0.9848661952875721	29.816947003922884	64	2	14	0.014290741302046946	128	0.9025616043804303	0.005135227661759671	0.005991098938719616	0.005363460002282323	0.005449047129978318	6439.275490699532	0.0059394656382787	0.005135227661759671	0.005991098938719616	0.005363460002282323	0.005449047129978318	6439.271967362775	0.005939466714929505	129539375	150	0.005135227661759671	0.005991098938719616	0.005363460002282323	0.005449047129978318	6439.279014036289	0.005939464566898941	32	COMPLETE
33	0.06253566130320666	2020-03-27 08:43:26.265140	2020-03-27 09:39:06.828202	0.9272670018116816	22.072830138131643	256	1	29	0.01812049838613117	128	0.26110453975938924	0.005135227661759671	0.06253566130320666	0.02025562022138537	0.034605728631747115	1834.9576343717904	0.02806159173916058	0.005135227661759671	0.06253566130320666	0.02025562022138537	0.034605728631747115	1834.9566358553006	0.028061609990190348	2998596994	350	0.005135227661759671	0.06253566130320666	0.02025562022138537	0.034605728631747115	1834.9586328882804	0.028061573863152348	33	COMPLETE
34	0.0541481227889992	2020-03-27 09:39:06.892358	2020-03-27 10:00:42.972507	0.1335273194783539	26.93266223587611	256	1	67	0.0448658933679601	256	0.20192104736934677	0.005135227661759671	0.0541481227889992	0.018772110007988133	0.029869907565902087	1415.7984565787972	0.026395750246754085	0.005135227661759671	0.0541481227889992	0.018772110007988133	0.029869907565902087	1415.7976720301267	0.026395754909397755	2836150827	250	0.005135227661759671	0.0541481227889992	0.018772110007988133	0.029869907565902087	1415.7992411274677	0.026395745625687216	34	COMPLETE
