number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
45	0.1999063670411985	2020-04-11 03:46:20.447117	2020-04-11 03:49:06.288932	64	2	28	256	0.7756972768560247	0.03323970037453183	0.1999063670411985	0.07256554307116105	0.11423220973782772	37.38857677902622	0.09649211089145786	0.03323970037453183	0.1999063670411985	0.07256554307116105	0.11423220973782772	37.38857677902622	0.09649211089145786	2961059060	850.0	0.03323970037453183	0.1999063670411985	0.07256554307116105	0.11423220973782772	37.38857677902622	0.09649211089145786	45	COMPLETE
46	0.6601123595505618	2020-04-11 03:49:06.315453	2020-04-11 03:50:32.460109	128	1	44	512	0.2685609596296587	0.11376404494382023	0.6601123595505618	0.36329588014981273	0.49625468164794007	13.035112359550562	0.2898120082866185	0.11376404494382023	0.6601123595505618	0.36329588014981273	0.49625468164794007	13.035112359550562	0.2898120082866185	2544834814	750.0	0.11376404494382023	0.6601123595505618	0.36329588014981273	0.49625468164794007	13.035112359550562	0.2898120082866185	46	COMPLETE
47	0.6118913857677902	2020-04-11 03:50:32.487364	2020-04-11 03:52:51.129133	64	1	86	256	0.307214673907646	0.10440074906367042	0.6118913857677902	0.32256554307116103	0.43913857677902624	14.86938202247191	0.26446750576716815	0.10440074906367042	0.6118913857677902	0.32256554307116103	0.43913857677902624	14.86938202247191	0.26446750576716815	2997467122	800.0	0.10440074906367042	0.6118913857677902	0.32256554307116103	0.43913857677902624	14.86938202247191	0.26446750576716815	47	COMPLETE
48	0.672752808988764	2020-04-11 03:52:51.155645	2020-04-11 03:55:31.279089	128	1	91	128	0.24244196733027307	0.1301498127340824	0.672752808988764	0.37265917602996257	0.5023408239700374	11.763576779026216	0.3038726629566944	0.1301498127340824	0.672752808988764	0.37265917602996257	0.5023408239700374	11.763576779026216	0.3038726629566944	2306921043	500.0	0.1301498127340824	0.672752808988764	0.37265917602996257	0.5023408239700374	11.763576779026216	0.3038726629566944	48	COMPLETE
49	0.6282771535580525	2020-04-11 03:55:31.305942	2020-04-11 03:56:02.362636	128	1	13	512	0.2835260181023289	0.15262172284644196	0.6282771535580525	0.37687265917602997	0.4779962546816479	13.764513108614231	0.30867758447065097	0.15262172284644196	0.6282771535580525	0.37687265917602997	0.4779962546816479	13.764513108614231	0.30867758447065097	114984283	300.0	0.15262172284644196	0.6282771535580525	0.37687265917602997	0.4779962546816479	13.764513108614231	0.30867758447065097	49	COMPLETE
50	0.17415730337078653	2020-04-11 03:56:02.389626	2020-04-11 03:59:28.361013	64	2	62	256	0.8041425699181506	0.018726591760299626	0.17415730337078653	0.05898876404494382	0.09222846441947566	38.767790262172284	0.07957129395694876	0.018726591760299626	0.17415730337078653	0.05898876404494382	0.09222846441947566	38.767790262172284	0.07957129395694876	13398750		0.018726591760299626	0.17415730337078653	0.05898876404494382	0.09222846441947566	38.767790262172284	0.07957129395694876	50	COMPLETE
51	0.7083333333333334	2020-04-11 03:59:28.396375	2020-04-11 04:00:41.109600	256	1	59	256	0.22112618581032598	0.14794007490636704	0.7083333333333334	0.4143258426966292	0.5444756554307116	10.733614232209737	0.3308426007535141	0.14794007490636704	0.7083333333333334	0.4143258426966292	0.5444756554307116	10.733614232209737	0.3308426007535141	509668627	400.0	0.14794007490636704	0.7083333333333334	0.4143258426966292	0.5444756554307116	10.733614232209737	0.3308426007535141	51	COMPLETE
52	0.6872659176029963	2020-04-11 04:00:41.137758	2020-04-11 04:02:10.518524	256	1	49	128	0.22803497093307615	0.15823970037453183	0.6872659176029963	0.4190074906367041	0.5369850187265918	11.074906367041198	0.33439020952706366	0.15823970037453183	0.6872659176029963	0.4190074906367041	0.5369850187265918	11.074906367041198	0.33439020952706366	4093076597	300.0	0.15823970037453183	0.6872659176029963	0.4190074906367041	0.5369850187265918	11.074906367041198	0.33439020952706366	52	COMPLETE
53	0.22893258426966293	2020-04-11 04:02:10.569820	2020-04-11 04:04:52.260300	256	2	11	256	0.7550952962228212	0.048220973782771535	0.22893258426966293	0.09784644194756555	0.13764044943820225	36.40074906367041	0.11395850794156161	0.048220973782771535	0.22893258426966293	0.09784644194756555	0.13764044943820225	36.40074906367041	0.11395850794156161	3048015706	850.0	0.048220973782771535	0.22893258426966293	0.09784644194756555	0.13764044943820225	36.40074906367041	0.11395850794156161	53	COMPLETE
54	0.19241573033707865	2020-04-11 04:04:52.287544	2020-04-11 04:10:35.367624	128	2	83	128	0.7864426478494154	0.0299625468164794	0.19241573033707865	0.08052434456928839	0.11282771535580524	37.927434456928836	0.09523456446213402	0.0299625468164794	0.19241573033707865	0.08052434456928839	0.11282771535580524	37.927434456928836	0.09523456446213402	1046624401	1000.0	0.0299625468164794	0.19241573033707865	0.08052434456928839	0.11282771535580524	37.927434456928836	0.09523456446213402	54	COMPLETE
