number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
21	0.9555243445692884	2020-05-13 12:28:08.135778	2020-05-13 12:30:29.180411	64	1	256	0.0014062984097212097	0.06820807434541735	0.4845505617977528	0.9555243445692884	0.7963483146067416	0.8899812734082397	3.287921348314607	0.6579151314814932	0.4845505617977528	0.9555243445692884	0.7963483146067416	0.8899812734082397	3.287921348314607	0.6579151314814932	2921718076	700.0	0.4845505617977528	0.9555243445692884	0.7963483146067416	0.8899812734082397	3.287921348314607	0.6579151314814932	21	COMPLETE
22	0.9569288389513109	2020-05-13 12:30:29.192780	2020-05-13 12:35:48.001417	128	1	512	0.3238746980192847	0.06900266616706377	0.4700374531835206	0.9569288389513109	0.7954119850187266	0.8834269662921348	3.3239700374531833	0.6487838309074627	0.4700374531835206	0.9569288389513109	0.7954119850187266	0.8834269662921348	3.3239700374531833	0.6487838309074627	522467935	1000.0	0.4700374531835206	0.9569288389513109	0.7954119850187266	0.8834269662921348	3.3239700374531833	0.6487838309074627	22	COMPLETE
23	0.9559925093632958	2020-05-13 12:35:48.020137	2020-05-13 12:45:36.221830	256	1	256	0.644743016643217	0.06809798344073308	0.47191011235955055	0.9559925093632958	0.7935393258426966	0.8909176029962547	3.2865168539325844	0.6506785516949488	0.47191011235955055	0.9559925093632958	0.7935393258426966	0.8909176029962547	3.2865168539325844	0.6506785516949488	2335562595	600.0	0.47191011235955055	0.9559925093632958	0.7935393258426966	0.8909176029962547	3.2865168539325844	0.6506785516949488	23	COMPLETE
24	0.949438202247191	2020-05-13 12:45:36.233761	2020-05-13 12:49:58.658030	256	1	128	0.0337387695409439	0.07148778830020085	0.45318352059925093	0.949438202247191	0.7640449438202247	0.8684456928838952	3.4499063670411987	0.630624601174014	0.45318352059925093	0.949438202247191	0.7640449438202247	0.8684456928838952	3.4499063670411987	0.630624601174014	1641333897	300.0	0.45318352059925093	0.949438202247191	0.7640449438202247	0.8684456928838952	3.4499063670411987	0.630624601174014	24	COMPLETE
25	0.2649812734082397	2020-05-13 12:49:58.670165	2020-05-13 13:07:08.508142	256	2	128	0.443597014308999	0.6039238061733223	0.04353932584269663	0.2649812734082397	0.11095505617977527	0.15777153558052434	28.932116104868914	0.12331651547665533	0.04353932584269663	0.2649812734082397	0.11095505617977527	0.15777153558052434	28.932116104868914	0.12331651547665533	4029443522		0.04353932584269663	0.2649812734082397	0.11095505617977527	0.15777153558052434	28.932116104868914	0.12331651547665533	25	COMPLETE
26	0.954119850187266	2020-05-13 13:07:08.519971	2020-05-13 13:08:54.170713	128	1	128	0.0062144307707940405	0.06850950209047185	0.48220973782771537	0.954119850187266	0.7902621722846442	0.8820224719101124	3.307584269662921	0.6538599066399844	0.48220973782771537	0.954119850187266	0.7902621722846442	0.8820224719101124	3.307584269662921	0.6538599066399844	2335849801	300.0	0.48220973782771537	0.954119850187266	0.7902621722846442	0.8820224719101124	3.307584269662921	0.6538599066399844	26	COMPLETE
27	0.9545880149812734	2020-05-13 13:08:54.180944	2020-05-13 13:11:00.031883	128	1	128	0.09199293917601466	0.0694904125841467	0.47237827715355807	0.9545880149812734	0.7851123595505618	0.8801498127340824	3.350187265917603	0.647548358469776	0.47237827715355807	0.9545880149812734	0.7851123595505618	0.8801498127340824	3.350187265917603	0.647548358469776	2375076240	350.0	0.47237827715355807	0.9545880149812734	0.7851123595505618	0.8801498127340824	3.350187265917603	0.647548358469776	27	COMPLETE
28	0.0950374531835206	2020-05-13 13:11:00.044175	2020-05-13 13:11:24.085234	64	2	256	0.010351537871786113	0.9705062632271079	0.008895131086142321	0.0950374531835206	0.035580524344569285	0.05337078651685393	46.840823970037455	0.05370295444369684	0.008895131086142321	0.0950374531835206	0.035580524344569285	0.05337078651685393	46.840823970037455	0.05370295444369684	374447192	150.0	0.008895131086142321	0.0950374531835206	0.035580524344569285	0.05337078651685393	46.840823970037455	0.05370295444369684	28	COMPLETE
29	0.2565543071161049	2020-05-13 13:11:24.097511	2020-05-13 13:17:25.041508	128	2	256	0.004449787270192	0.6096316866719683	0.042134831460674156	0.2565543071161049	0.10861423220973783	0.150749063670412	29.209737827715355	0.12138125028726206	0.042134831460674156	0.2565543071161049	0.10861423220973783	0.150749063670412	29.209737827715355	0.12138125028726206	4197976233		0.042134831460674156	0.2565543071161049	0.10861423220973783	0.150749063670412	29.209737827715355	0.12138125028726206	29	COMPLETE
30	0.10299625468164794	2020-05-13 13:17:25.053349	2020-05-13 13:19:19.180181	256	2	256	0.05558520360574504	0.976184304702455	0.009363295880149813	0.10299625468164794	0.0299625468164794	0.047752808988764044	47.043539325842694	0.052354261475593335	0.009363295880149813	0.10299625468164794	0.0299625468164794	0.047752808988764044	47.043539325842694	0.052354261475593335	2394721650	150.0	0.009363295880149813	0.10299625468164794	0.0299625468164794	0.047752808988764044	47.043539325842694	0.052354261475593335	30	COMPLETE
