number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
37	0.02633230628780098	2020-03-26 00:45:36.763671	2020-03-26 00:51:11.553957	128	2	6	0.02201988917528821	512	0.25554225753629906	0.005135227661759671	0.02633230628780098	0.00927193883373274	0.014235992240100422	1796.8627467762183	0.015017709591587184	0.005135227661759671	0.02633230628780098	0.00927193883373274	0.014235992240100422	1796.8624614857924	0.015017711250822068	2784407986	150	0.005135227661759671	0.02633230628780098	0.00927193883373274	0.014235992240100422	1796.8630320666439	0.015017707943739822	37	COMPLETE
38	0.005563163300239644	2020-03-26 00:51:11.652722	2020-03-26 01:09:11.624925	256	1	56	0.01656835269342107	128	0.9942278173243793	0.005135227661759671	0.005563163300239644	0.005163756704325003	0.005249343832020997	7105.960016546845	0.005729383877222381	0.005135227661759671	0.005563163300239644	0.005163756704325003	0.005249343832020997	7105.954981170832	0.005729384146948703	2400560205	150	0.005135227661759671	0.005563163300239644	0.005163756704325003	0.005249343832020997	7105.965051922857	0.005729383607659063	38	COMPLETE
39	0.05774278215223097	2020-03-26 01:09:11.729189	2020-03-26 01:17:53.809534	64	2	77	0.0013524255617833186	512	0.11469636734909894	0.005135227661759671	0.05774278215223097	0.01683213511354559	0.028871391076115485	796.842548214082	0.027126595311519505	0.005135227661759671	0.05774278215223097	0.01683213511354559	0.028871391076115485	796.8421773365286	0.02712660088787412	817523740	200	0.005135227661759671	0.05774278215223097	0.01683213511354559	0.028871391076115485	796.8429190916353	0.027126589826000802	39	COMPLETE
40	0.005620221385370307	2020-03-26 01:17:53.966167	2020-03-26 01:35:21.091808	128	2	23	0.0873383421530552	128	0.9021508958819858	0.005135227661759671	0.005620221385370307	0.005391989044847655	0.005420518087412987	6442.111520027388	0.005683425189781297	0.005135227661759671	0.005620221385370307	0.005391989044847655	0.005420518087412987	6442.110065046217	0.005683425458778485	405192761	150	0.005135227661759671	0.005620221385370307	0.005391989044847655	0.005420518087412987	6442.112975008558	0.005683424921068005	40	COMPLETE
41	0.00587698276845829	2020-03-26 01:35:21.173438	2020-03-26 01:52:29.072454	128	1	84	0.008895970268139312	128	1.0126845131029751	0.005135227661759671	0.00587698276845829	0.005391989044847655	0.005506105215108981	7237.502610407395	0.005825528400067901	0.005135227661759671	0.00587698276845829	0.005391989044847655	0.005506105215108981	7237.499286773936	0.005825530249904169	660069598	150	0.005135227661759671	0.00587698276845829	0.005391989044847655	0.005506105215108981	7237.505934040853	0.005825526564697968	41	COMPLETE
42	0.00604815702385028	2020-03-26 01:52:29.162418	2020-03-26 02:02:22.119878	256	2	27	0.04293927735984986	256	0.9459614720290634	0.005135227661759671	0.00604815702385028	0.005591692342804975	0.005819924683327628	6749.66692342805	0.0059202645024212614	0.005135227661759671	0.00604815702385028	0.005591692342804975	0.005819924683327628	6749.66492639507	0.005920265407663641	739105431	150	0.005135227661759671	0.00604815702385028	0.005591692342804975	0.005819924683327628	6749.668920461029	0.005920263600077117	42	COMPLETE
43	0.046787629807143676	2020-03-26 02:02:22.201886	2020-03-26 02:19:50.339315	128	2	71	0.008116646676981167	128	0.1588284475297788	0.005135227661759671	0.046787629807143676	0.014806573091407052	0.024706150861577087	1106.720572292594	0.022726597394061635	0.005135227661759671	0.046787629807143676	0.014806573091407052	0.024706150861577087	1106.7201586214767	0.022726597607511004	3339069033	150	0.005135227661759671	0.046787629807143676	0.014806573091407052	0.024706150861577087	1106.720985963711	0.02272659718099705	43	COMPLETE
44	0.005762866598196964	2020-03-26 02:19:50.471880	2020-03-26 02:25:27.585667	64	1	54	0.03775841882419417	512	0.9861734458433862	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005363460002282323	7046.858781239302	0.005755591382251299	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005363460002282323	7046.856327741641	0.005755591675853476	3778062500	150	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005363460002282323	7046.861234736963	0.005755591089169659	44	COMPLETE
45	0.005705808513066302	2020-03-26 02:25:27.658117	2020-03-26 02:34:55.791403	256	1	13	0.0017712571587050142	256	0.9977318429765072	0.005135227661759671	0.005705808513066302	0.005249343832020997	0.0053349309597169915	7128.354772908821	0.005747681640237931	0.005135227661759671	0.005705808513066302	0.005249343832020997	0.0053349309597169915	7128.350222526532	0.005747681921046457	3777282844	150	0.005135227661759671	0.005705808513066302	0.005249343832020997	0.0053349309597169915	7128.359323291111	0.005747681359807507	45	COMPLETE
46	0.005762866598196964	2020-03-26 02:34:55.861577	2020-03-26 02:44:45.734791	256	1	44	0.01506808015914477	256	0.9965899369486119	0.005135227661759671	0.005762866598196964	0.005220814789455666	0.005391989044847655	7121.739829396325	0.005748353086458426	0.005135227661759671	0.005762866598196964	0.005220814789455666	0.005391989044847655	7121.735079310738	0.005748353433996462	307390818	150	0.005135227661759671	0.005762866598196964	0.005220814789455666	0.005391989044847655	7121.744579481912	0.005748352739338995	46	COMPLETE
