number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
20	0.9110486891385767	2020-05-17 14:41:54.229342	2020-05-17 14:44:13.989177	128	0.4558778258250689	0.37513549454996914	48	0.36236056650740006	5	0.021957882629363237	512	0.09560036279735494	0.29681647940074907	0.9110486891385767	0.6320224719101124	0.7762172284644194	4.621722846441948	0.49986718366709965	0.29681647940074907	0.9110486891385767	0.6320224719101124	0.7762172284644194	4.621722846441948	0.49986718366709965		3317384421.0	300.0	0.29681647940074907	0.9110486891385767	0.6320224719101124	0.7762172284644194	4.621722846441948	0.49986718366709965	20		COMPLETE
21	0.06554307116104868	2020-05-17 14:44:14.102236	2020-05-17 14:47:56.050980	128	0.08195528946038788	0.39528726561123106	30	0.08678871429656643	20	0.0548570459424596	256	1.0002363783364927	0.011704119850187267	0.06554307116104868	0.02902621722846442	0.03885767790262172	48.193820224719104	0.04581053348665317	0.019662921348314606	0.5416666666666666	0.10908239700374532	0.47097378277153557	26.83941947565543	0.16502565773683592		3739005403.0	200.0	0.011704119850187267	0.06554307116104868	0.02902621722846442	0.03885767790262172	69.54822097378278	0.04100117286801298	21		COMPLETE
22	0.45552434456928836	2020-05-17 14:47:56.177390	2020-05-17 15:07:08.310939	256	0.3774205581181998	0.47087025768576773	25	0.4557104408936566	40	0.04846923377046196	256	0.3404440277697316	0.06132958801498127	0.45552434456928836	0.17275280898876405	0.2710674157303371	16.442181647940075	0.1802321715805862	0.062265917602996254	0.45646067415730335	0.17368913857677903	0.2720037453183521	16.27200374531835	0.18122600951175066		3252960346.0	400.0	0.06132958801498127	0.45552434456928836	0.17275280898876405	0.2710674157303371	16.6123595505618	0.18011070237506868	22		COMPLETE
23	0.3796816479400749	2020-05-17 15:07:08.406535	2020-05-17 15:10:29.558502	256	0.23930258387649334	0.19289839840547152	17	0.29758353607788207	16	0.0014285681298495995	256	0.41696319819693123	0.07209737827715355	0.3796816479400749	0.16619850187265917	0.2303370786516854	20.142322097378276	0.17412192850752425	0.07209737827715355	0.3796816479400749	0.16619850187265917	0.2303370786516854	20.14185393258427	0.17412294672015294		941055772.0	200.0	0.07209737827715355	0.3796816479400749	0.16619850187265917	0.2303370786516854	20.142790262172284	0.17412095855164594	23		COMPLETE
24	0.6441947565543071	2020-05-17 15:10:29.661736	2020-05-17 15:14:31.209022	64	0.22932762531301176	0.43149725326524824	24	0.25714128694936417	22	0.014928212826372352	512	0.22902777994728266	0.1404494382022472	0.6441947565543071	0.32069288389513106	0.44288389513108617	11.102059925093632	0.2897693123301788	0.1404494382022472	0.6441947565543071	0.32069288389513106	0.44288389513108617	11.102059925093632	0.2897693123301788		1578512183.0	350.0	0.1404494382022472	0.6441947565543071	0.32069288389513106	0.44288389513108617	11.102059925093632	0.2897693123301788	24		COMPLETE
25	0.05056179775280899	2020-05-17 15:14:31.340466	2020-05-17 15:16:48.866358	128	0.49433577778262966	0.03463301244723066	18	0.42544509954701876	22	0.09658577799265113	256	1.008853736891645	0.005149812734082397	0.05056179775280899	0.014044943820224719	0.023408239700374533	48.67673220973783	0.03611360459522855	0.5051498127340824	0.550561797752809	0.5140449438202247	0.5234082397003745	25.28183520599251	0.5256172513472624		1096302034.0	150.0	0.005149812734082397	0.05056179775280899	0.014044943820224719	0.023408239700374533	72.07162921348315	0.030921287644070122	25		COMPLETE
26	0.05898876404494382	2020-05-17 15:16:48.955490	2020-05-17 15:23:50.512491	64	0.4566720689686689	0.2120220230964675	36	0.24153072207501552	79	0.036479822768313845	256	0.9543670386517218	0.004213483146067416	0.05898876404494382	0.01544943820224719	0.024812734082397005	46.006320224719104	0.039181033552705066	0.4597378277153558	0.5585205992509363	0.5149812734082397	0.5243445692883895	22.937265917602996	0.5060922324078695		363927395.0	200.0	0.004213483146067416	0.05898876404494382	0.01544943820224719	0.024812734082397005	69.07537453183521	0.03393581423687859	26		COMPLETE
27	0.2949438202247191	2020-05-17 15:23:50.609868	2020-05-17 15:38:53.033300	256	0.15234317270225817	0.22178083432094792	18	0.4059383917893277	95	0.00896845646974379	256	0.526222081731112	0.033707865168539325	0.2949438202247191	0.10018726591760299	0.16198501872659177	25.52762172284644	0.12116340845415523	0.033707865168539325	0.2949438202247191	0.10018726591760299	0.16198501872659177	25.52762172284644	0.12116340845415523		3152218403.0	200.0	0.033707865168539325	0.2949438202247191	0.10018726591760299	0.16198501872659177	25.52762172284644	0.12116340845415523	27		COMPLETE
28	0.125	2020-05-17 15:38:53.178091	2020-05-17 15:46:42.694012	256	0.4918377454741498	0.006521390658581094	27	0.2676864804404317	50	0.044652480761255144	128	0.8592565933073267	0.012172284644194757	0.125	0.04541198501872659	0.07069288389513109	41.43258426966292	0.06215458897971284	0.20739700374531836	0.45692883895131087	0.3211610486891386	0.35767790262172283	27.047752808988765	0.2998053771449756		4095462938.0	150.0	0.012172284644194757	0.125	0.04541198501872659	0.07069288389513109	55.81741573033708	0.05748840962984176	28		COMPLETE
29		2020-05-17 15:46:42.811321	2020-05-17 15:46:44.948212	256	0.025995921228303798	0.4226870783449093	60	0.27147924819012625	47	0.0031867863936185146	512														The current model can't be trained on this hardware with these parameters.									29	Setting status of trial#29 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
