number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
46	0.09784644194756555	2020-04-08 20:47:37.461377	2020-04-08 20:47:58.618896	128	512	0.04216661386185034	1.0052321690120751	0.009831460674157303	0.09784644194756555	0.0299625468164794	0.05056179775280899	48.50889513108614	0.05188679901838241	0.009831460674157303	0.09784644194756555	0.0299625468164794	0.05056179775280899	48.50889513108614	0.05188679901838241	3505632555	200.0	0.009831460674157303	0.09784644194756555	0.0299625468164794	0.05056179775280899	48.50889513108614	0.05188679901838241	46	COMPLETE
47	0.24672284644194756	2020-04-08 20:47:58.629762	2020-04-08 20:51:00.807476	128	128	0.05729609308771544	0.6039027440952911	0.02902621722846442	0.24672284644194756	0.0847378277153558	0.13764044943820225	28.820224719101123	0.10725002299293815	0.02902621722846442	0.24672284644194756	0.0847378277153558	0.13764044943820225	28.820224719101123	0.10725002299293815	3798711889	900.0	0.02902621722846442	0.24672284644194756	0.0847378277153558	0.13764044943820225	28.820224719101123	0.10725002299293815	47	COMPLETE
48	0.2247191011235955	2020-04-08 20:51:00.819449	2020-04-08 20:53:43.273698	128	256	0.09792557544893758	0.6509133188711472	0.02762172284644195	0.2247191011235955	0.07724719101123595	0.12874531835205993	31.185861423220974	0.10001405379318194	0.02762172284644195	0.2247191011235955	0.07724719101123595	0.12874531835205993	31.185861423220974	0.10001405379318194	1501652715		0.02762172284644195	0.2247191011235955	0.07724719101123595	0.12874531835205993	31.185861423220974	0.10001405379318194	48	COMPLETE
49	0.09550561797752809	2020-04-08 20:53:43.285587	2020-04-08 20:54:05.608099	128	128	0.002868364037142411	0.9674433161712108	0.012172284644194757	0.09550561797752809	0.030430711610486893	0.05102996254681648	46.66338951310861	0.055483161833172284	0.012172284644194757	0.09550561797752809	0.030430711610486893	0.05102996254681648	46.66338951310861	0.055483161833172284	937421563	150.0	0.012172284644194757	0.09550561797752809	0.030430711610486893	0.05102996254681648	46.66338951310861	0.055483161833172284	49	COMPLETE
50	0.09129213483146068	2020-04-08 20:54:05.618838	2020-04-08 20:54:22.707131	256	256	0.001417476869175898	1.0134990361165115	0.006086142322097378	0.09129213483146068	0.025749063670411985	0.042134831460674156	48.801029962546814	0.04803618922045836	0.006086142322097378	0.09129213483146068	0.025749063670411985	0.042134831460674156	48.801029962546814	0.04803618922045836	1116312888	150.0	0.006086142322097378	0.09129213483146068	0.025749063670411985	0.042134831460674156	48.801029962546814	0.04803618922045836	50	COMPLETE
51	0.2448501872659176	2020-04-08 20:54:22.719117	2020-04-08 20:57:25.083223	64	128	0.028640389559936405	0.6133964165019687	0.03277153558052434	0.2448501872659176	0.09597378277153558	0.14279026217228463	29.299625468164795	0.11245521905573	0.03277153558052434	0.2448501872659176	0.09597378277153558	0.14279026217228463	29.299625468164795	0.11245521905573	1080204337	900.0	0.03277153558052434	0.2448501872659176	0.09597378277153558	0.14279026217228463	29.299625468164795	0.11245521905573	51	COMPLETE
52	0.24765917602996254	2020-04-08 20:57:25.101037	2020-04-08 20:59:44.175203	128	128	0.037130359889626686	0.6076778299122881	0.024344569288389514	0.24765917602996254	0.07818352059925093	0.12780898876404495	29.0374531835206	0.10227366072931376	0.024344569288389514	0.24765917602996254	0.07818352059925093	0.12780898876404495	29.0374531835206	0.10227366072931376	3769237613	700.0	0.024344569288389514	0.24765917602996254	0.07818352059925093	0.12780898876404495	29.0374531835206	0.10227366072931376	52	COMPLETE
53	0.2804307116104869	2020-04-08 20:59:44.187352	2020-04-08 21:03:18.702414	128	128	0.03797298687053299	0.576433683320887	0.032303370786516857	0.2804307116104869	0.10346441947565543	0.16432584269662923	27.47237827715356	0.11825918164482875	0.032303370786516857	0.2804307116104869	0.10346441947565543	0.16432584269662923	27.47237827715356	0.11825918164482875	3518201326		0.032303370786516857	0.2804307116104869	0.10346441947565543	0.16432584269662923	27.47237827715356	0.11825918164482875	53	COMPLETE
54	0.09878277153558053	2020-04-08 21:03:18.714312	2020-04-08 21:03:40.988839	64	128	0.2916481826446864	1.011159303498695	0.010767790262172285	0.09878277153558053	0.03136704119850187	0.050093632958801496	48.778558052434455	0.053481876084684445	0.010767790262172285	0.09878277153558053	0.03136704119850187	0.050093632958801496	48.778558052434455	0.053481876084684445	543343760	150.0	0.010767790262172285	0.09878277153558053	0.03136704119850187	0.050093632958801496	48.778558052434455	0.053481876084684445	54	COMPLETE
55	0.10720973782771535	2020-04-08 21:03:41.000926	2020-04-08 21:03:57.866027	256	256	0.008003525221124316	1.0013241931309484	0.015917602996254682	0.10720973782771535	0.03323970037453183	0.052434456928838954	48.311797752808985	0.05776145226968023	0.015917602996254682	0.10720973782771535	0.03323970037453183	0.052434456928838954	48.311797752808985	0.05776145226968023	127472971	150.0	0.015917602996254682	0.10720973782771535	0.03323970037453183	0.052434456928838954	48.311797752808985	0.05776145226968023	55	COMPLETE
56	0.11563670411985019	2020-04-08 21:03:57.877727	2020-04-08 21:04:31.324138	64	256	0.6421443477221295	0.9715500033682052	0.010299625468164793	0.11563670411985019	0.03417602996254682	0.05945692883895131	46.9063670411985	0.056489108384565015	0.010299625468164793	0.11563670411985019	0.03417602996254682	0.05945692883895131	46.9063670411985	0.056489108384565015	104177412	250.0	0.010299625468164793	0.11563670411985019	0.03417602996254682	0.05945692883895131	46.9063670411985	0.056489108384565015	56	COMPLETE
57	0.24578651685393257	2020-04-08 21:04:31.334739	2020-04-08 21:07:43.667663	64	128	0.003047870004585747	0.5977294514642868	0.03932584269662921	0.24578651685393257	0.08941947565543071	0.13904494382022473	28.548220973782772	0.11393861144316751	0.03932584269662921	0.24578651685393257	0.08941947565543071	0.13904494382022473	28.548220973782772	0.11393861144316751	2709812373	950.0	0.03932584269662921	0.24578651685393257	0.08941947565543071	0.13904494382022473	28.548220973782772	0.11393861144316751	57	COMPLETE
58	0.14232209737827714	2020-04-08 21:07:43.679662	2020-04-08 21:09:25.636956	256	512	0.040251214267547894	0.895064073576407	0.017790262172284643	0.14232209737827714	0.047752808988764044	0.07865168539325842	43.08192883895131	0.07022100858887313	0.017790262172284643	0.14232209737827714	0.047752808988764044	0.07865168539325842	43.08192883895131	0.07022100858887313	3547649266	800.0	0.017790262172284643	0.14232209737827714	0.047752808988764044	0.07865168539325842	43.08192883895131	0.07022100858887313	58	COMPLETE
59	0.10346441947565543	2020-04-08 21:09:25.648918	2020-04-08 21:09:40.296792	128	512	0.01868839341854994	0.9890588851390958	0.007958801498127341	0.10346441947565543	0.0299625468164794	0.050093632958801496	47.7560861423221	0.05201976593360199	0.007958801498127341	0.10346441947565543	0.0299625468164794	0.050093632958801496	47.7560861423221	0.05201976593360199	1037176558	150.0	0.007958801498127341	0.10346441947565543	0.0299625468164794	0.050093632958801496	47.7560861423221	0.05201976593360199	59	COMPLETE
60	0.10533707865168539	2020-04-08 21:09:40.308757	2020-04-08 21:10:02.796529	256	128	0.28460135790726776	0.9977474605764022	0.010299625468164793	0.10533707865168539	0.035580524344569285	0.05898876404494382	48.059691011235955	0.05548576405504824	0.010299625468164793	0.10533707865168539	0.035580524344569285	0.05898876404494382	48.05945692883895	0.05548580539410289	3517349715	150.0	0.010299625468164793	0.10533707865168539	0.035580524344569285	0.05898876404494382	48.059925093632955	0.055485723259928496	60	COMPLETE
61	0.23548689138576778	2020-04-08 21:10:02.808410	2020-04-08 21:12:44.963035	128	256	0.009782358385914125	0.6346138790868963	0.030430711610486893	0.23548689138576778	0.08567415730337079	0.12593632958801498	30.336610486891384	0.10544983925688907	0.030430711610486893	0.23548689138576778	0.08567415730337079	0.12593632958801498	30.336610486891384	0.10544983925688907	1876526847		0.030430711610486893	0.23548689138576778	0.08567415730337079	0.12593632958801498	30.336610486891384	0.10544983925688907	61	COMPLETE
