number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
20	0.005734337555631633	2020-03-06 04:44:57.994453	2020-03-06 05:05:01.653195	0.6792691301732222	23.39930174812324	64	256	71	0.0015575215982910119	512	1.07835993270181	0.005135227661759671	0.005734337555631633	0.005192285746890335	0.005391989044847655	7714.429790026246	0.005679965459980438	0.005135227661759671	0.005734337555631633	0.005192285746890335	0.005391989044847655	7714.427079767203	0.005679966197232007	12899144	150	0.005135227661759671	0.005734337555631633	0.005192285746890335	0.005391989044847655	7714.43250028529	0.005679964725885744	20	COMPLETE
21	0.005477576172543649	2020-03-06 05:05:01.692143	2020-03-06 05:22:42.492585	0.5075192176707997	9.15682107217905	128	128	65	0.07098790008197887	512	1.5849537870132173	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005306401917151661	11346.576671801895	0.005407585354494935	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005306401917151661	11346.574574917266	0.005407585523125273	2291708870	150	0.00510669861919434	0.005477576172543649	0.005220814789455666	0.005306401917151661	11346.578768686522	0.0054075851861057345	21	COMPLETE
22	0.005363460002282323	2020-03-06 05:22:42.531301	2020-03-06 06:13:32.479204	0.8160223295616365	22.093828737294345	256	256	28	0.03190514502795511	128	1.5674545089790572	0.00510669861919434	0.005363460002282323	0.005163756704325003	0.005249343832020997	11249.029613146184	0.005367396778733032	0.00510669861919434	0.005363460002282323	0.005163756704325003	0.005249343832020997	11249.021368252881	0.005367397162795797	4133166606	150	0.00510669861919434	0.005363460002282323	0.005163756704325003	0.005249343832020997	11249.037858039484	0.005367396395718577	22	COMPLETE
23	0.005420518087412987	2020-03-06 06:13:32.517938	2020-03-06 07:03:16.682240	0.6528098353107411	26.132510410058202	64	64	36	0.004765282650399824	128	1.3503911303627119	0.005078169576629008	0.005420518087412987	0.005163756704325003	0.005249343832020997	9676.205252196736	0.005449355310476085	0.005078169576629008	0.005420518087412987	0.005163756704325003	0.005249343832020997	9676.203640305832	0.005449355349145921	274442029	150	0.005078169576629008	0.005420518087412987	0.005163756704325003	0.005249343832020997	9676.20686408764	0.00544935527181593	23	COMPLETE
24	0.018030354901289514	2020-03-06 07:03:16.722282	2020-03-06 09:09:10.244303	0.5822740136078459	3.2112844259949442	128	256	66	0.00641889460769487	128	0.584321252543686	0.005135227661759671	0.018030354901289514	0.008444596599338126	0.011782494579481913	4150.459560082164	0.011274900764200013	0.005135227661759671	0.018030354901289514	0.008444596599338126	0.011782494579481913	4150.456436152002	0.011274902324257203	633482251	300	0.005135227661759671	0.018030354901289514	0.008444596599338126	0.011782494579481913	4150.462684012325	0.011274899208832189	24	COMPLETE
25	0.005449047129978318	2020-03-06 09:09:10.284285	2020-03-06 09:59:10.766893	0.7047878332173888	4.414707168572766	128	64	11	0.002057193167637484	128	1.1345897783927323	0.0050211114914983455	0.005449047129978318	0.005163756704325003	0.005249343832020997	8118.359280497547	0.00548336940629391	0.0050211114914983455	0.005449047129978318	0.005163756704325003	0.005249343832020997	8118.357640077599	0.005483369788819559	2720834759	150	0.0050211114914983455	0.005449047129978318	0.005163756704325003	0.005249343832020997	8118.360920917494	0.005483369024987441	25	COMPLETE
26	0.00567727947050097	2020-03-06 09:59:10.805747	2020-03-06 10:29:18.582810	0.597151762994236	14.659508125289523	256	256	52	0.003017570236189293	256	1.2668118658477086	0.005135227661759671	0.00567727947050097	0.005277872874586329	0.005420518087412987	9077.87177621819	0.0056398881709764405	0.005135227661759671	0.00567727947050097	0.005277872874586329	0.005420518087412987	9077.867853474838	0.005639888678194945	1705183286	150	0.005135227661759671	0.00567727947050097	0.005277872874586329	0.005420518087412987	9077.875698961543	0.005639887664529621	26	COMPLETE
27	0.005563163300239644	2020-03-06 10:29:18.622407	2020-03-06 10:46:47.315156	0.9036730006774191	7.200347653524767	128	64	93	0.05677693840949067	512	1.324883823743724	0.00453611776788771	0.005563163300239644	0.00510669861919434	0.005249343832020997	9494.425011411617	0.005152354302529489	0.00453611776788771	0.005563163300239644	0.00510669861919434	0.005249343832020997	9494.422401004222	0.00515238359538638	4070206268	150	0.00453611776788771	0.005563163300239644	0.00510669861919434	0.005249343832020997	9494.427621819012	0.005152326263941343	27	COMPLETE
28	0.004764350108410362	2020-03-06 10:46:47.354397	2020-03-06 11:04:07.125991	0.7099465870645321	10.406926963872088	256	64	55	0.0023294636271467997	512	1.2009684075504636	0.0027673171288371563	0.004764350108410362	0.003708775533493096	0.0041652402145384	8602.07361919434	0.003835951057452626	0.0027673171288371563	0.004764350108410362	0.003708775533493096	0.0041652402145384	8602.071693483967	0.003835951197777492	2899356679	150	0.0027673171288371563	0.004764350108410362	0.003708775533493096	0.0041652402145384	8602.075544904714	0.003835950917200886	28	COMPLETE
29	0.0053349309597169915	2020-03-06 11:04:07.165826	2020-03-06 11:53:54.800097	0.18832539917759747	27.056243995922983	128	128	28	0.04387031864941508	128	1.6020092828149997	0.004964053406367682	0.0053349309597169915	0.00510669861919434	0.005220814789455666	11477.473225493552	0.005250660533614414	0.004964053406367682	0.0053349309597169915	0.00510669861919434	0.005220814789455666	11477.464024877325	0.005250660750689938	2961328321	150	0.004964053406367682	0.0053349309597169915	0.00510669861919434	0.005220814789455666	11477.48242610978	0.005250660316994662	29	COMPLETE
30	0.005506105215108981	2020-03-06 11:53:54.839204	2020-03-06 12:44:43.313889	0.9683048537489484	20.455004307915978	128	256	61	0.003743183104668252	128	1.3505125317160083	0.00510669861919434	0.005506105215108981	0.005220814789455666	0.005249343832020997	9678.663086271825	0.005507364179838964	0.00510669861919434	0.005506105215108981	0.005220814789455666	0.005249343832020997	9678.66036174826	0.005507364406172254	699870260	150	0.00510669861919434	0.005506105215108981	0.005220814789455666	0.005249343832020997	9678.66581079539	0.005507363953811872	30	COMPLETE
31	0.004479059682757047	2020-03-06 12:44:43.352651	2020-03-06 13:14:07.298891	0.48631087754230645	4.257533726888151	256	64	94	0.017854208037944658	256	1.028849532701991	0.002881433299098482	0.004479059682757047	0.00359465936323177	0.003937007874015748	7351.627125413671	0.003664943150951751	0.002881433299098482	0.004479059682757047	0.00359465936323177	0.003937007874015748	7351.624614857926	0.0036649451977020845	2342412354	150	0.002881433299098482	0.004479059682757047	0.00359465936323177	0.003937007874015748	7351.629635969417	0.0036649411233040646	31	COMPLETE
32	0.004621704895583704	2020-03-06 13:14:07.341507	2020-03-06 13:43:43.788536	0.14043408302565685	11.166175379698293	256	64	99	0.0028586123609772676	256	1.2067765505869836	0.002995549469359808	0.004621704895583704	0.0037943626611890904	0.004336414469930389	8643.192157366198	0.003932376557474447	0.002995549469359808	0.004621704895583704	0.0037943626611890904	0.004336414469930389	8643.190659591464	0.003932376708768381	2859658073	150	0.002995549469359808	0.004621704895583704	0.0037943626611890904	0.004336414469930389	8643.193655140933	0.00393237640629606	32	COMPLETE
33	0.005363460002282323	2020-03-06 13:43:43.827312	2020-03-06 14:33:55.952960	0.8248794177339751	15.640614248972954	64	128	55	0.004956372218233802	128	1.351126305411365	0.00510669861919434	0.005363460002282323	0.005192285746890335	0.005192285746890335	9687.077684582906	0.005468837388879218	0.00510669861919434	0.005363460002282323	0.005192285746890335	0.005192285746890335	9687.07605842748	0.00546883743756834	1239270375	150	0.00510669861919434	0.005363460002282323	0.005192285746890335	0.005192285746890335	9687.079310738332	0.005468837340211735	33	COMPLETE
34	0.005477576172543649	2020-03-06 14:33:55.991690	2020-03-06 14:58:30.203362	0.8214677938140399	22.17612403656115	128	128	2	0.006678250845176371	256	1.3584145643021246	0.005135227661759671	0.005477576172543649	0.005277872874586329	0.005277872874586329	9741.04838525619	0.005513196362045267	0.005135227661759671	0.005477576172543649	0.005277872874586329	0.005277872874586329	9741.04581764236	0.0055131965069109175	33437310	150	0.005135227661759671	0.005477576172543649	0.005277872874586329	0.005277872874586329	9741.050952870022	0.005513196217268147	34	COMPLETE
35	0.005449047129978318	2020-03-06 14:58:30.242082	2020-03-06 15:28:36.516481	0.11699066655076688	29.803152787622036	256	256	52	0.0019025865344936936	256	1.2195394731630806	0.005135227661759671	0.005449047129978318	0.005220814789455666	0.005306401917151661	8736.196764806573	0.005547748251140376	0.005135227661759671	0.005449047129978318	0.005220814789455666	0.005306401917151661	8736.192542508274	0.005547748784232966	4138166814	150	0.005135227661759671	0.005449047129978318	0.005220814789455666	0.005306401917151661	8736.200987104872	0.0055477477196144796	35	COMPLETE
