number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
58	0.10205992509363296	2020-04-26 15:54:18.001849	2020-04-26 15:54:57.034166	128	128	0.001434624967453032	1.0076067570696343	0.00046816479400749064	0.10205992509363296	0.023408239700374533	0.05664794007490637	48.56952247191011	0.04719735902987472	0.04728464419475655	0.12312734082397003	0.05196629213483146	0.07256554307116105	46.61750936329588	0.08297179264942157	1718584922	150	0.00046816479400749064	0.0898876404494382	0.008426966292134831	0.02949438202247191	50.52153558052434	0.038708585254400775	58	COMPLETE
59	0.10252808988764045	2020-04-26 15:54:57.060641	2020-04-26 15:55:34.174878	256	512	0.001124274997684725	0.9840756818217885	0.0	0.10252808988764045	0.019194756554307114	0.05290262172284644	47.46839887640449	0.047163232987660765	0.05337078651685393	0.12921348314606743	0.05945692883895131	0.07771535580524344	45.032303370786515	0.08999546226776968	3508448172	150	0.0	0.08099250936329588	0.006554307116104869	0.02247191011235955	49.90449438202247	0.03757441556829481	59	COMPLETE
60	0.09831460674157304	2020-04-26 15:55:34.195480	2020-04-26 15:56:22.595800	256	128	0.014357401435552437	1.0070864913352042	0.00046816479400749064	0.09831460674157304	0.025280898876404494	0.05852059925093633	48.572799625468164	0.047824493704604856	0.06132958801498127	0.12874531835205993	0.06554307116104868	0.07771535580524344	46.17837078651685	0.09481953003234639	3302266508	150	0.00046816479400749064	0.07865168539325842	0.00749063670411985	0.026685393258426966	50.96722846441948	0.037779725102640986	60	COMPLETE
61	0.09644194756554307	2020-04-26 15:56:22.622161	2020-04-26 15:56:51.822929	128	256	0.001090951267938187	1.0230859018424492	0.0	0.09644194756554307	0.018726591760299626	0.04728464419475655	49.35697565543071	0.04465315092742106	0.042134831460674156	0.11938202247191011	0.05056179775280899	0.0650749063670412	47.377808988764045	0.0782147102867548	2179389314	150	0.0	0.08099250936329588	0.008426966292134831	0.024344569288389514	51.33614232209738	0.03685573997547632	61	COMPLETE
62	0.10346441947565543	2020-04-26 15:56:51.849591	2020-04-26 15:58:07.252663	256	256	0.0051702859663413136	0.9997243658588914	0.0009363295880149813	0.10346441947565543	0.025749063670411985	0.05383895131086142	48.176029962546814	0.04735463289428331	0.05664794007490637	0.12640449438202248	0.0599250936329588	0.07724719101123595	45.72612359550562	0.09098517599146103	4048872147	250	0.0009363295880149813	0.08286516853932584	0.007022471910112359	0.027153558052434457	50.625936329588015	0.03757341379156697	62	COMPLETE
63	0.09925093632958802	2020-04-26 15:58:07.277724	2020-04-26 15:58:46.739475	128	128	0.2902396298191707	1.0108303202269076	0.0	0.09925093632958802	0.02153558052434457	0.05196629213483146	48.80196629213483	0.04658836314696161	0.046348314606741575	0.1203183520599251	0.05337078651685393	0.06975655430711611	46.77153558052434	0.08239870731975109	3856206030	150	0.0	0.08052434456928839	0.009831460674157303	0.026685393258426966	50.83239700374532	0.03808300564928781	63	COMPLETE
64	0.09878277153558053	2020-04-26 15:58:46.801858	2020-04-26 15:59:33.458065	256	128	0.009313546651246644	1.002056435422016	0.0009363295880149813	0.09878277153558053	0.023876404494382022	0.04915730337078652	48.363529962546814	0.0467376438381996	0.050093632958801496	0.12780898876404495	0.05383895131086142	0.07116104868913857	45.94054307116105	0.08574407227811713	3793469579	150	0.0009363295880149813	0.07584269662921349	0.007958801498127341	0.024812734082397005	50.78651685393258	0.03752915949687021	64	COMPLETE
65	0.0997191011235955	2020-04-26 15:59:33.479642	2020-04-26 16:00:13.129408	256	256	0.010395779668632482	0.9906043121303442	0.00046816479400749064	0.0997191011235955	0.02247191011235955	0.05102996254681648	47.84948501872659	0.04657682020699421	0.05337078651685393	0.12874531835205993	0.05898876404494382	0.07771535580524344	45.377808988764045	0.08968033382409371	2819328926	150	0.00046816479400749064	0.07771535580524344	0.0046816479400749065	0.024812734082397005	50.32116104868914	0.03699618465207158	65	COMPLETE
66	0.09691011235955056	2020-04-26 16:00:13.150238	2020-04-26 16:00:48.478026	64	128	0.11391334410821623	1.0021073053458405	0.0014044943820224719	0.09691011235955056	0.026217228464419477	0.04868913857677903	48.31226591760299	0.047657294373680686	0.03604868913857678	0.11423220973782772	0.04353932584269663	0.060393258426966294	47.032303370786515	0.07285169465136324	1972954443	150	0.0014044943820224719	0.08661048689138577	0.013576779026217229	0.03323970037453183	49.59222846441948	0.04111613571873259	66	COMPLETE
67	0.09222846441947566	2020-04-26 16:00:48.504544	2020-04-26 16:01:26.068094	256	512	0.0058090210840035334	1.0073655487094004	0.0009363295880149813	0.09222846441947566	0.020599250936329586	0.05149812734082397	48.592930711610485	0.04636641262085529	0.052434456928838954	0.12827715355805244	0.056179775280898875	0.07162921348314606	46.19241573033708	0.08733793276527503	2187723810	150	0.0009363295880149813	0.07350187265917603	0.007958801498127341	0.023408239700374533	50.993445692883896	0.03709434269085704	67	COMPLETE
