number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
20	0.38343033207805544	2020-05-14 07:13:32.220782	2020-05-14 08:40:28.291579	256	0.0017009199167284576	128	0.3890142570990486	0.1033066778607043	0.16064703868538172	0.38343033207805544	0.2525961428734452	0.3043763551295219	707.1024192628096	0.23315757572619702	0.16064703868538172	0.38343033207805544	0.2525961428734452	0.3043763551295219	707.1023336756818	0.23315759192191965		331157147.0	200.0	0.16064703868538172	0.38343033207805544	0.2525961428734452	0.3043763551295219	707.1025048499372	0.23315756003647473	20		COMPLETE
21	0.19705009699874473	2020-05-14 08:40:28.346308	2020-05-14 09:01:30.370645	64	0.09197343069462363	512	0.3781012739021137	0.34935042557233364	0.09340408535889536	0.19705009699874473	0.13642588154741528	0.16056145155768572	2467.187221841835	0.1288002870223698	0.09340408535889536	0.19705009699874473	0.13642588154741528	0.16056145155768572	2467.187064932101	0.12880028718132358		3540186986.0	150.0	0.09340408535889536	0.19705009699874473	0.13642588154741528	0.16056145155768572	2467.187378751569	0.1288002868637233	21		COMPLETE
22		2020-05-14 09:01:30.407684	2020-05-14 09:01:40.568163	128	0.07191592549726587	512	0.0016220095552540374														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									22	Setting status of trial#22 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
23		2020-05-14 09:01:40.575623	2020-05-14 09:01:50.650443	128	0.02566268537379148	512	0.0010797259348389666														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									23	Setting status of trial#23 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
24	0.23964395754878468	2020-05-14 09:01:50.657796	2020-05-14 10:28:31.012099	256	0.007904618953588216	128	0.039971309118305653	0.24719577740016435	0.11094944653657424	0.23964395754878468	0.16395640762296018	0.19265662444368367	1731.4126298071437	0.15438717006107447	0.11094944653657424	0.23964395754878468	0.16395640762296018	0.19265662444368367	1731.4124728974095	0.15438717033901528		2929668156.0	200.0	0.11094944653657424	0.23964395754878468	0.16395640762296018	0.19265662444368367	1731.4127867168777	0.15438716978423603	24		COMPLETE
25	0.39544105899806004	2020-05-14 10:28:31.052765	2020-05-14 12:50:14.258258	256	0.001428350881016231	512	0.0018456327333703966	0.05549301487902476	0.16521168549583476	0.39544105899806004	0.26009928106812735	0.31516033321921716	382.5610521510898	0.24060897017612612	0.16521168549583476	0.39544105899806004	0.26009928106812735	0.31516033321921716	382.5609950930047	0.24060897048389443		925382655.0	300.0	0.16521168549583476	0.39544105899806004	0.26009928106812735	0.31516033321921716	382.56110920917496	0.2406089698696684	25		COMPLETE
26	0.17097455209403173	2020-05-14 12:50:14.311743	2020-05-14 13:48:21.316855	256	0.023765442472221145	128	0.022895725774683157	0.45252902267202255	0.08219217163072007	0.17097455209403173	0.11965080451900034	0.14047700559169235	3192.22753337898	0.11247135565099846	0.08219217163072007	0.17097455209403173	0.11965080451900034	0.14047700559169235	3192.2274049982884	0.11247135591181863		1303525504.0	150.0	0.08219217163072007	0.17097455209403173	0.11965080451900034	0.14047700559169235	3192.2276617596713	0.11247135539106981	26		COMPLETE
27	0.307657195024535	2020-05-14 13:48:21.354223	2020-05-14 14:19:31.099700	64	0.006955399721994482	512	0.04486151979400027	0.10974769210505804	0.13742439803720188	0.307657195024535	0.21020198562136255	0.24897295446764806	763.5223952984138	0.19450641447135847	0.13742439803720188	0.307657195024535	0.21020198562136255	0.24897295446764806	763.5221955951158	0.1945064156857465		1919653028.0	200.0	0.13742439803720188	0.307657195024535	0.21020198562136255	0.24897295446764806	763.5225950017117	0.19450641326565624	27		COMPLETE
28	0.40143215793677967	2020-05-14 14:19:31.138232	2020-05-14 16:14:01.902353	256	0.00120039194528149	256	0.2437767296146506	0.08170306620971315	0.1676081250713226	0.40143215793677967	0.26389364372931645	0.31741412758187837	559.5699532123701	0.24297241775342174	0.1676081250713226	0.40143215793677967	0.26389364372931645	0.31741412758187837	559.5698961542851	0.2429724177625369		3374482250.0	250.0	0.1676081250713226	0.40143215793677967	0.26389364372931645	0.31741412758187837	559.5700102704553	0.24297241774431144	28		COMPLETE
29	0.2629807143672258	2020-05-14 16:14:01.960872	2020-05-14 17:40:45.284740	256	0.005982188918521937	128	0.0014912959576425943	0.22142092363231036	0.11828141047586443	0.2629807143672258	0.1789056259271939	0.21219901860093576	1545.2132831222184	0.16656568349200704	0.11828141047586443	0.2629807143672258	0.1789056259271939	0.21219901860093576	1545.213111947963	0.16656568375338626		3479081610.0	200.0	0.11828141047586443	0.2629807143672258	0.1789056259271939	0.21219901860093576	1545.2134542964739	0.16656568323149434	29		COMPLETE
30	0.3019513865114687	2020-05-14 17:40:45.325952	2020-05-14 19:06:47.961903	256	0.012659818095851554	512	0.4728835069082307	0.16874965236142192	0.1307486020769143	0.3019513865114687	0.20432500285290425	0.24486477233824033	1182.1253280839894	0.18834610763675846	0.1307486020769143	0.3019513865114687	0.20432500285290425	0.24486477233824033	1182.1252139678193	0.18834610810503258		147188425.0	200.0	0.1307486020769143	0.3019513865114687	0.20432500285290425	0.24486477233824033	1182.1254422001598	0.1883461071705144	30		COMPLETE
