number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
27	0.10535775419376926	2020-03-03 22:42:53.798896	2020-03-03 22:58:27.105239	128	1	2	0.047454661375330304	0.04418342083053212	256	0.8383065591058757	0.04133858267716536	0.10535775419376926	0.06932557343375556	0.08259157822663471	5973.699189775191	0.06232021116074249	0.04133858267716536	0.10535775419376926	0.06932557343375556	0.08259157822663471	5973.6976492068925	0.06232021214346363	1781520363	150	0.04133858267716536	0.10535775419376926	0.06932557343375556	0.08259157822663471	5973.700730343489	0.06232021018034494	27	COMPLETE
28	0.17106013922172772	2020-03-03 22:58:27.146453	2020-03-04 00:08:44.556004	256	1	29	0.016065492916608592	0.07414525941747495	256	0.5334771776647256	0.08082277758758416	0.17106013922172772	0.12236106356270683	0.14138993495378296	3787.7228831450416	0.11185828352831859	0.08082277758758416	0.17106013922172772	0.12236106356270683	0.14138993495378296	3787.718047472327	0.11185828697575831	1585912643	450	0.08082277758758416	0.17106013922172772	0.12236106356270683	0.14138993495378296	3787.7277188177563	0.11185828009823354	28	COMPLETE
29	0.17416980486134886	2020-03-04 00:08:44.604038	2020-03-04 00:30:34.366023	128	1	31	0.01937879875096042	0.17026541287648203	512	0.5573763555432095	0.08727034120734908	0.17416980486134886	0.1272110007988132	0.14658222070067328	3954.2644642245805	0.11773159665475103	0.08727034120734908	0.17416980486134886	0.1272110007988132	0.14658222070067328	3954.260327513409	0.1177315983619304	2333337429	250	0.08727034120734908	0.17416980486134886	0.1272110007988132	0.14658222070067328	3954.2686009357526	0.11773159495354375	29	COMPLETE
30	0.18988930731484652	2020-03-04 00:30:34.409900	2020-03-04 01:05:37.609924	128	2	51	0.004750141692447035	0.02374301130816411	256	0.285011523241499	0.08513066301494922	0.18988930731484652	0.13123359580052493	0.1514036288942143	2021.2712398721899	0.12143412130612295	0.08513066301494922	0.18988930731484652	0.13123359580052493	0.1514036288942143	2021.2684297614971	0.12143413921309994	1280649022	250	0.08513066301494922	0.18988930731484652	0.13123359580052493	0.1514036288942143	2021.2740499828826	0.12143410379696463	30	COMPLETE
31	0.21416752253794363	2020-03-04 01:05:37.656253	2020-03-04 01:24:40.995266	128	2	98	0.0015797470649744033	0.2621049502201242	512	0.13584408974858422	0.09115029099623416	0.21416752253794363	0.13676823005819924	0.16118909049412303	958.9040425653315	0.13208356172600777	0.09115029099623416	0.21416752253794363	0.13676823005819924	0.16118909049412303	958.9016603902774	0.13208447199949416	1123062054	200	0.09115029099623416	0.21416752253794363	0.13676823005819924	0.16118909049412303	958.9064247403857	0.1320828193720457	31	COMPLETE
32	0.19904712997831792	2020-03-04 01:24:41.035049	2020-03-04 02:34:24.867480	256	2	18	0.009280519056983055	0.033213825204013725	256	0.42442822637350536	0.07346228460572864	0.19904712997831792	0.1254992582448933	0.15186009357525962	3012.3227490585414	0.11621279765744125	0.07346228460572864	0.19904712997831792	0.1254992582448933	0.15186009357525962	3012.319525276732	0.1162128018463903	3145777677	450	0.07346228460572864	0.19904712997831792	0.1254992582448933	0.15186009357525962	3012.3259728403514	0.11621279350731901	32	COMPLETE
33	0.16364258815474153	2020-03-04 02:34:24.918486	2020-03-04 04:05:12.863446	128	1	56	0.014475916476420938	0.013681321443275265	128	0.4102912550981848	0.06299212598425197	0.16364258815474153	0.10236220472440945	0.12529955494693598	2910.808299098482	0.09777393561901779	0.06299212598425197	0.16364258815474153	0.10236220472440945	0.12529955494693598	2910.804690174598	0.09777394963208402	3244001273	350	0.06299212598425197	0.16364258815474153	0.10236220472440945	0.12529955494693598	2910.811908022367	0.09777392188167455	33	COMPLETE
34	0.16295789113317358	2020-03-04 04:05:12.903062	2020-03-04 04:32:14.512964	128	2	74	0.0041145853188133425	0.04969489305000205	256	0.3061914561618171	0.07329111035033664	0.16295789113317358	0.11796759100764578	0.13485678420632202	2165.897010156339	0.10704367905627392	0.07329111035033664	0.16295789113317358	0.11796759100764578	0.13485678420632202	2165.8921887481456	0.1070437101461495	4147587241	200	0.07329111035033664	0.16295789113317358	0.11796759100764578	0.13485678420632202	2165.9018315645326	0.10704364874949479	34	COMPLETE
35	0.19642245806230743	2020-03-04 04:32:14.551570	2020-03-04 05:23:42.854631	64	2	31	0.002942245343326105	0.25640944931333154	256	0.15351499887398307	0.07520255620221386	0.19642245806230743	0.1363688234622846	0.16058998060025106	1085.2828939860779	0.12052854484161159	0.07520255620221386	0.19642245806230743	0.1363688234622846	0.16058998060025106	1085.2815531210772	0.12052855043882517	3581011223	350	0.07520255620221386	0.19642245806230743	0.1363688234622846	0.16058998060025106	1085.2842348510785	0.12052853929753554	35	COMPLETE
36	0.016603902773022938	2020-03-04 05:23:42.892572	2020-03-04 05:43:44.259850	256	1	71	0.033703958783210274	0.10958486281324	256	1.0136667870617027	0.011668378409220586	0.016603902773022938	0.014749515006276389	0.01551979915554034	7243.590807942485	0.014311305810256868	0.011668378409220586	0.016603902773022938	0.014749515006276389	0.01551979915554034	7243.564247403857	0.014311341676263559	1005241103	150	0.011668378409220586	0.016603902773022938	0.014749515006276389	0.01551979915554034	7243.617368481114	0.014311270480992556	36	COMPLETE
37	0.2695709231998174	2020-03-04 05:43:44.297658	2020-03-04 07:27:37.478213	128	2	11	0.0012315981861401903	0.01357977588125885	128	0.07751380519453593	0.08741298642017574	0.2695709231998174	0.156538856555974	0.20075887253223781	544.3434326144014	0.14743916717928623	0.08741298642017574	0.2695709231998174	0.156538856555974	0.20075887253223781	544.3430617368481	0.1474392260969894	2459064087	400	0.08741298642017574	0.2695709231998174	0.156538856555974	0.20075887253223781	544.3438034919548	0.14743911026588863	37	COMPLETE
38	0.01706036745406824	2020-03-04 07:27:37.535110	2020-03-04 08:07:24.323758	128	2	6	0.040549730992401195	0.11262656310696978	128	1.0181067932371202	0.006961086385940888	0.01706036745406824	0.011696907451785919	0.013551295218532466	7278.038457149378	0.010769487362714056	0.006961086385940888	0.01706036745406824	0.011696907451785919	0.013551295218532466	7278.033892502568	0.010769491187291024	3747672793	200	0.006961086385940888	0.01706036745406824	0.011696907451785919	0.013551295218532466	7278.043021796188	0.010769483555698135	38	COMPLETE
39	0.2662044961771083	2020-03-04 08:07:24.365867	2020-03-04 08:50:11.052556	256	1	4	0.0028576723787208406	0.18231000067244277	512	0.15049664016363648	0.10501540568298529	0.2662044961771083	0.17933356156567384	0.21453840009129294	1057.7548071436722	0.1612770794488568	0.10501540568298529	0.2662044961771083	0.17933356156567384	0.21453840009129294	1057.7541652402144	0.16127710426986772	3596670812	450	0.10501540568298529	0.2662044961771083	0.17933356156567384	0.21453840009129294	1057.75544904713	0.16127705559972544	39	COMPLETE
40	0.059682757046673515	2020-03-04 08:50:11.090521	2020-03-04 09:01:20.419394	128	1	30	0.027323077960386268	0.013052078148232723	512	0.6452493104271804	0.030640191715166038	0.059682757046673515	0.040739472783293394	0.046844687892274334	4594.666866369965	0.04223517949918583	0.030640191715166038	0.059682757046673515	0.040739472783293394	0.046844687892274334	4594.66158849709	0.04223520163554685	102099621	150	0.030640191715166038	0.059682757046673515	0.040739472783293394	0.046844687892274334	4594.672144242839	0.0422351579327408	40	COMPLETE
41	0.12452927079767204	2020-03-04 09:01:20.487992	2020-03-04 09:31:54.686119	64	2	37	0.023221647344577503	0.020111647532462425	128	0.41688236121983135	0.041024763208946706	0.12452927079767204	0.07195024534976606	0.09140705237932215	2957.305560310396	0.07020296095484567	0.041024763208946706	0.12452927079767204	0.07195024534976606	0.09140705237932215	2957.3034634257674	0.07020296407422982	3736606430	150	0.041024763208946706	0.12452927079767204	0.07195024534976606	0.09140705237932215	2957.3076571950246	0.07020295785986017	41	COMPLETE
42	0.21425310966563962	2020-03-04 09:31:54.724347	2020-03-04 11:01:41.674015	64	1	31	0.00329510315275366	0.027199000290693352	128	0.13939958364852095	0.08470272737646925	0.21425310966563962	0.13169006048157023	0.1608182129407737	984.9669063106243	0.12697924563933657	0.08470272737646925	0.21425310966563962	0.13169006048157023	0.1608182129407737	984.9655369165811	0.12697925423673073	174647800	350	0.08470272737646925	0.21425310966563962	0.13169006048157023	0.1608182129407737	984.9682757046673	0.12697923714851	42	COMPLETE
