number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
23	0.726123595505618	2020-05-16 01:40:12.388434	2020-05-16 01:51:20.578649	0.11687365737761528	3.5468922276332	256	0.21189720081257446	0.10783761347446419	28	0.49133116762585566	53	0.025838466544373054	512	0.19464515478172328	0.16432584269662923	0.726123595505618	0.3661048689138577	0.5191947565543071	9.397003745318353	0.3271050686738102	0.16432584269662923	0.726123595505618	0.3661048689138577	0.5191947565543071	9.397003745318353	0.3271050686738102		2147503083.0	200.0	0.16432584269662923	0.726123595505618	0.3661048689138577	0.5191947565543071	9.397003745318353	0.3271050686738102	23		COMPLETE
24	0.7607677902621723	2020-05-16 01:51:20.717423	2020-05-16 02:03:16.655035	0.5374381643128905	10.739571661495683	128	0.27872185290002016	0.008154041474016493	62	0.32128894942060754	58	0.0029180814490458416	256	0.15940354009549576	0.16619850187265917	0.7607677902621723	0.38108614232209737	0.5407303370786517	7.719101123595506	0.3377673412908579	0.16619850187265917	0.7607677902621723	0.38108614232209737	0.5407303370786517	7.719101123595506	0.3377673412908579		868713768.0	200.0	0.16619850187265917	0.7607677902621723	0.38108614232209737	0.5407303370786517	7.719101123595506	0.3377673412908579	24		COMPLETE
25	0.8815543071161048	2020-05-16 02:03:16.757241	2020-05-16 02:14:06.345731	0.4664475127725428	6.23543557167145	256	0.45601491613411566	0.0858017973806049	34	0.2086878089254005	37	0.0018191282487962667	128	0.11054692752153547	0.2808988764044944	0.8815543071161048	0.5936329588014981	0.7368913857677902	5.352528089887641	0.476202110489589	0.2808988764044944	0.8815543071161048	0.5936329588014981	0.7368913857677902	5.352528089887641	0.476202110489589		1380590671.0	200.0	0.2808988764044944	0.8815543071161048	0.5936329588014981	0.7368913857677902	5.352528089887641	0.476202110489589	25		COMPLETE
26	0.8544007490636704	2020-05-16 02:14:06.462277	2020-05-16 02:16:33.233796	0.2928043588206799	5.302686309560817	64	0.058180751235767825	0.352206168872858	39	0.1214245443375006	11	0.0661964690546559	128	0.12428568523509728	0.20599250936329588	0.8544007490636704	0.4508426966292135	0.6184456928838952	6.025749063670412	0.38959002538554766	0.20599250936329588	0.8544007490636704	0.4508426966292135	0.6184456928838952	6.025749063670412	0.38959002538554766		1961397173.0	200.0	0.20599250936329588	0.8544007490636704	0.4508426966292135	0.6184456928838952	6.025749063670412	0.38959002538554766	26		COMPLETE
27	0.7935393258426966	2020-05-16 02:16:33.378170	2020-05-16 02:34:03.385441	0.21121634152666635	6.163406177615772	256	0.24541122536784138	0.2956327082063792	30	0.26699750857634774	79	0.00808390053307633	512	0.1633555905227218	0.2696629213483146	0.7935393258426966	0.5468164794007491	0.6671348314606742	7.817415730337078	0.4449650660683957	0.2696629213483146	0.7935393258426966	0.5468164794007491	0.6671348314606742	7.817415730337078	0.4449650660683957		3487961226.0	200.0	0.2696629213483146	0.7935393258426966	0.5468164794007491	0.6671348314606742	7.817415730337078	0.4449650660683957	27		COMPLETE
28	0.6928838951310862	2020-05-16 02:34:03.491125	2020-05-16 02:49:02.896972	0.9086404823350974	18.18954366570077	256	0.20743350059265292	0.2956411237131204	44	0.3367219800242818	46	0.0029340960412003714	128	0.24359229808300037	0.23782771535580524	0.6928838951310862	0.4812734082397004	0.5805243445692884	11.668539325842696	0.3954300423407727	0.23782771535580524	0.6928838951310862	0.4812734082397004	0.5805243445692884	11.668539325842696	0.3954300423407727		120359524.0	200.0	0.23782771535580524	0.6928838951310862	0.4812734082397004	0.5805243445692884	11.668539325842696	0.3954300423407727	28		COMPLETE
29	0.19194756554307116	2020-05-16 02:49:03.029048	2020-05-16 02:53:19.619258	0.3479860941476452	29.150563650503198	64	0.4217267708410573	0.3382031777541296	19	0.16942312301431328	17	0.007587051657885528	128	0.6692957130325295	0.025280898876404494	0.19194756554307116	0.050093632958801496	0.08286516853932584	32.36610486891386	0.08519373965461133	0.025280898876404494	0.19194756554307116	0.050093632958801496	0.08286516853932584	30.79868913857678	0.08653441935978762		902599370.0	300.0	0.025280898876404494	0.19194756554307116	0.050093632958801496	0.08286516853932584	33.93352059925093	0.08455646712428855	29		COMPLETE
30	0.9372659176029963	2020-05-16 02:53:19.714196	2020-05-16 02:58:31.356329	0.8884862027977187	29.84575281811866	256	0.1060928392900834	0.4837575761700023	59	0.1294898168674044	8	0.09083647701257544	512	0.08534628008701577	0.3080524344569288	0.9372659176029963	0.6629213483146067	0.8127340823970037	4.123595505617978	0.5196760740628852	0.3080524344569288	0.9372659176029963	0.6629213483146067	0.8127340823970037	4.123595505617978	0.5196760740628852		1164527.0	250.0	0.3080524344569288	0.9372659176029963	0.6629213483146067	0.8127340823970037	4.123595505617978	0.5196760740628852	30		COMPLETE
31	0.8089887640449438	2020-05-16 02:58:31.461966	2020-05-16 03:20:21.696647	0.38430818015825163	23.180535117307492	256	0.22501799575411624	0.31993493192440636	32	0.19856159627732906	72	0.0016804673664548516	512	0.14187732091947888	0.19101123595505617	0.8089887640449438	0.4957865168539326	0.6324906367041199	6.813202247191011	0.38778026494721857	0.19101123595505617	0.8089887640449438	0.4957865168539326	0.6324906367041199	6.813202247191011	0.38778026494721857		3718404288.0	250.0	0.19101123595505617	0.8089887640449438	0.4957865168539326	0.6324906367041199	6.813202247191011	0.38778026494721857	31		COMPLETE
32	0.5243445692883895	2020-05-16 03:20:21.865659	2020-05-16 03:24:47.806449	0.8084840118044374	17.13770087911686	64	0.4175285824013822	0.08254576091356342	44	0.441686110148533	24	0.0017166965255024883	512	0.27939948715070745	0.07818352059925093	0.5243445692883895	0.20271535580524344	0.29353932584269665	13.487359550561798	0.20725997456828563	0.07818352059925093	0.5243445692883895	0.20271535580524344	0.29353932584269665	13.482209737827715	0.20726784112784225		2818207399.0	300.0	0.07818352059925093	0.5243445692883895	0.20271535580524344	0.29353932584269665	13.49250936329588	0.20725283467604183	32		COMPLETE
