number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
50	0.6385767790262172	2020-03-07 00:32:58.808782	2020-03-07 00:33:55.219401	64	1	0.004675695888099212	512	0.28090753576482785	0.31590721505425506	0.17228464419475656	0.6385767790262172	0.39840823970037453	0.5107677902621723	15.389513108614231	0.32881540729413383	0.17228464419475656	0.6385767790262172	0.39840823970037453	0.5107677902621723	15.389513108614231	0.32881540729413383	1649689804	450	0.17228464419475656	0.6385767790262172	0.39840823970037453	0.5107677902621723	15.389513108614231	0.32881540729413383	50	COMPLETE
51	0.6334269662921348	2020-03-07 00:33:55.231243	2020-03-07 00:34:30.048123	128	1	0.001996684056707696	512	0.00456793618947155	0.3108233484711624	0.18211610486891386	0.6334269662921348	0.39840823970037453	0.4948501872659176	15.120786516853933	0.330835588741537	0.18211610486891386	0.6334269662921348	0.39840823970037453	0.4948501872659176	15.120786516853933	0.330835588741537	516801433	300	0.18211610486891386	0.6334269662921348	0.39840823970037453	0.4948501872659176	15.120786516853933	0.330835588741537	51	COMPLETE
52	0.2495318352059925	2020-03-07 00:34:30.067731	2020-03-07 00:35:10.948717	64	2	0.0028264669776065913	512	0.1449510356894556	0.6667959138913226	0.06132958801498127	0.2495318352059925	0.12312734082397003	0.16853932584269662	32.11563670411985	0.13448521771747565	0.06132958801498127	0.2495318352059925	0.12312734082397003	0.16853932584269662	32.11563670411985	0.13448521771747565	306153303	350	0.06132958801498127	0.2495318352059925	0.12312734082397003	0.16853932584269662	32.11563670411985	0.13448521771747565	52	COMPLETE
53	0.4550561797752809	2020-03-07 00:35:10.960416	2020-03-07 00:36:00.618088	64	1	0.02432177564859244	256	0.022598907176924272	0.45135025778255156	0.07958801498127341	0.4550561797752809	0.2401685393258427	0.33239700374531833	21.812265917602996	0.2065560878063623	0.07958801498127341	0.4550561797752809	0.2401685393258427	0.33239700374531833	21.812265917602996	0.2065560878063623	2314708760	350	0.07958801498127341	0.4550561797752809	0.2401685393258427	0.33239700374531833	21.812265917602996	0.2065560878063623	53	COMPLETE
54	0.25608614232209737	2020-03-07 00:36:00.628994	2020-03-07 00:36:53.079092	256	2	0.005870956469357394	128	0.009163727621147129	0.6614219129298314	0.06694756554307116	0.25608614232209737	0.12921348314606743	0.1760299625468165	31.85486891385768	0.1404918874593071	0.06694756554307116	0.25608614232209737	0.12921348314606743	0.1760299625468165	31.85486891385768	0.1404918874593071	3096356529	300	0.06694756554307116	0.25608614232209737	0.12921348314606743	0.1760299625468165	31.85486891385768	0.1404918874593071	54	COMPLETE
55	0.25608614232209737	2020-03-07 00:36:53.091108	2020-03-07 00:37:22.494695	128	2	0.07150069281911813	512	0.021937055788419858	0.6739875037181243	0.04915730337078652	0.25608614232209737	0.11376404494382023	0.1601123595505618	32.42977528089887	0.1250057431736583	0.04915730337078652	0.25608614232209737	0.11376404494382023	0.1601123595505618	32.42977528089887	0.1250057431736583	2381315867	250	0.04915730337078652	0.25608614232209737	0.11376404494382023	0.1601123595505618	32.42977528089887	0.1250057431736583	55	COMPLETE
56	0.24906367041198502	2020-03-07 00:37:22.506553	2020-03-07 00:37:57.335079	64	1	0.05482519754502187	512	0.006009159811036206	0.6975297854118021	0.03136704119850187	0.24906367041198502	0.0950374531835206	0.14606741573033707	33.56788389513109	0.1077997113430572	0.03136704119850187	0.24906367041198502	0.0950374531835206	0.14606741573033707	33.56788389513109	0.1077997113430572	1836732626	300	0.03136704119850187	0.24906367041198502	0.0950374531835206	0.14606741573033707	33.56788389513109	0.1077997113430572	56	COMPLETE
57	0.2565543071161049	2020-03-07 00:37:57.347192	2020-03-07 00:38:59.296761	256	2	0.001274152610455691	128	0.013389589623647105	0.6627433567206734	0.06694756554307116	0.2565543071161049	0.12780898876404495	0.17696629213483145	31.919007490636705	0.13988051873386873	0.06694756554307116	0.2565543071161049	0.12780898876404495	0.17696629213483145	31.919007490636705	0.13988051873386873	3597128922	350	0.06694756554307116	0.2565543071161049	0.12780898876404495	0.17696629213483145	31.919007490636705	0.13988051873386873	57	COMPLETE
58	0.39840823970037453	2020-03-07 00:38:59.307756	2020-03-07 00:39:38.862152	256	1	0.011619688350295993	256	0.8146349261155682	0.4936313028421169	0.006554307116104869	0.39840823970037453	0.16900749063670412	0.25280898876404495	23.8188202247191	0.14099973949607505	0.006554307116104869	0.39840823970037453	0.16900749063670412	0.25280898876404495	23.8188202247191	0.14099973949607505	3939720160	300	0.006554307116104869	0.39840823970037453	0.16900749063670412	0.25280898876404495	23.8188202247191	0.14099973949607505	58	COMPLETE
59	0.24578651685393257	2020-03-07 00:39:38.874242	2020-03-07 00:40:03.932117	128	2	0.08790027713261829	256	0.4822930751790632	0.6740321031586731	0.041666666666666664	0.24578651685393257	0.09925093632958802	0.14887640449438203	32.44709737827716	0.11630843490971458	0.041666666666666664	0.24578651685393257	0.09925093632958802	0.14887640449438203	32.44709737827716	0.11630843490971458	1343529693	200	0.041666666666666664	0.24578651685393257	0.09925093632958802	0.14887640449438203	32.44709737827716	0.11630843490971458	59	COMPLETE
