number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
20	0.8984082397003745	2020-04-16 00:09:43.796335	2020-04-16 00:17:24.482225	256	26	128	0.11219741281013838	0.37265917602996257	0.8984082397003745	0.6830524344569289	0.7837078651685393	5.4040262172284645	0.5534932013561807	0.37265917602996257	0.8984082397003745	0.6830524344569289	0.7837078651685393	5.4040262172284645	0.5534932013561807	4068467298	950.0	0.37265917602996257	0.8984082397003745	0.6830524344569289	0.7837078651685393	5.4040262172284645	0.5534932013561807	20	COMPLETE
21	0.11329588014981273	2020-04-16 00:17:24.529651	2020-04-16 00:18:25.333342	256	62	128	0.9888982187323482	0.013576779026217229	0.11329588014981273	0.03838951310861423	0.05898876404494382	47.670411985018724	0.05919955046850239	0.013576779026217229	0.11329588014981273	0.03838951310861423	0.05898876404494382	47.670411985018724	0.05919955046850239	2774367220	150.0	0.013576779026217229	0.11329588014981273	0.03838951310861423	0.05898876404494382	47.670411985018724	0.05919955046850239	21	COMPLETE
22	0.11470037453183521	2020-04-16 00:18:25.379472	2020-04-16 00:18:54.441425	64	27	256	0.9699061473444356	0.011704119850187267	0.11470037453183521	0.035580524344569285	0.06179775280898876	46.82303370786517	0.058057288057639204	0.011704119850187267	0.11470037453183521	0.035580524344569285	0.06179775280898876	46.82303370786517	0.058057288057639204	2030436184	150.0	0.011704119850187267	0.11470037453183521	0.035580524344569285	0.06179775280898876	46.82303370786517	0.058057288057639204	22	COMPLETE
23	0.10580524344569288	2020-04-16 00:18:54.468289	2020-04-16 00:19:47.105101	64	89	128	0.9887603301178204	0.006554307116104869	0.10580524344569288	0.02949438202247191	0.052434456928838954	47.68352059925093	0.05141708641341938	0.006554307116104869	0.10580524344569288	0.02949438202247191	0.052434456928838954	47.68352059925093	0.05141708641341938	364837834	150.0	0.006554307116104869	0.10580524344569288	0.02949438202247191	0.052434456928838954	47.68352059925093	0.05141708641341938	23	COMPLETE
24	0.11891385767790262	2020-04-16 00:19:47.143740	2020-04-16 00:20:31.813370	256	73	256	0.992287520792733	0.01544943820224719	0.11891385767790262	0.03932584269662921	0.06835205992509363	47.90777153558052	0.061069890807626634	0.01544943820224719	0.11891385767790262	0.03932584269662921	0.06835205992509363	47.90777153558052	0.061069890807626634	1221704225	150.0	0.01544943820224719	0.11891385767790262	0.03932584269662921	0.06835205992509363	47.90777153558052	0.061069890807626634	24	COMPLETE
25	0.10018726591760299	2020-04-16 00:20:31.847114	2020-04-16 00:21:27.211163	128	70	128	0.9786957264834254	0.010767790262172285	0.10018726591760299	0.0299625468164794	0.047752808988764044	47.21816479400749	0.05394164756453475	0.010767790262172285	0.10018726591760299	0.0299625468164794	0.047752808988764044	47.21816479400749	0.05394164756453475	1644041591	150.0	0.010767790262172285	0.10018726591760299	0.0299625468164794	0.047752808988764044	47.21816479400749	0.05394164756453475	25	COMPLETE
26	0.11235955056179775	2020-04-16 00:21:27.237876	2020-04-16 00:21:50.180876	64	90	512	0.9966912608714041	0.014044943820224719	0.11235955056179775	0.03932584269662921	0.05898876404494382	48.083333333333336	0.05941494047472589	0.014044943820224719	0.11235955056179775	0.03932584269662921	0.05898876404494382	48.083333333333336	0.05941494047472589	3085907342	150.0	0.014044943820224719	0.11235955056179775	0.03932584269662921	0.05898876404494382	48.083333333333336	0.05941494047472589	26	COMPLETE
27	0.1104868913857678	2020-04-16 00:21:50.220315	2020-04-16 00:22:35.985167	256	100	512	0.9746418642534174	0.015917602996254682	0.1104868913857678	0.037921348314606744	0.06179775280898876	47.077715355805246	0.060136044224629905	0.015917602996254682	0.1104868913857678	0.037921348314606744	0.06179775280898876	47.077715355805246	0.060136044224629905	1922101574	150.0	0.015917602996254682	0.1104868913857678	0.037921348314606744	0.06179775280898876	47.077715355805246	0.060136044224629905	27	COMPLETE
28	0.10908239700374532	2020-04-16 00:22:36.012435	2020-04-16 00:23:16.176836	256	79	512	0.9902039770636889	0.008426966292134831	0.10908239700374532	0.03417602996254682	0.05664794007490637	47.80337078651685	0.05453509918435762	0.008426966292134831	0.10908239700374532	0.03417602996254682	0.05664794007490637	47.80337078651685	0.05453509918435762	3999299879	150.0	0.008426966292134831	0.10908239700374532	0.03417602996254682	0.05664794007490637	47.80337078651685	0.05453509918435762	28	COMPLETE
29	0.10486891385767791	2020-04-16 00:23:16.197984	2020-04-16 00:24:34.444092	64	54	128	1.033536322414003	0.012640449438202247	0.10486891385767791	0.028089887640449437	0.05102996254681648	49.88295880149813	0.05333146938734611	0.012640449438202247	0.10486891385767791	0.028089887640449437	0.05102996254681648	49.88295880149813	0.05333146938734611	1744607019	200.0	0.012640449438202247	0.10486891385767791	0.028089887640449437	0.05102996254681648	49.88295880149813	0.05333146938734611	29	COMPLETE
