number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
49	0.09363295880149813	2020-03-07 00:42:10.335820	2020-03-07 00:42:27.496866	128	2	0.005610141057166003	0.24882153853067351	512	0.006460210597135488	0.992789263645194	0.0	0.09363295880149813	0.02153558052434457	0.04307116104868914	47.931179775280896	0.044627612328790735	0.0	0.09363295880149813	0.02153558052434457	0.04307116104868914	47.931179775280896	0.044627612328790735	3013294091	150.0	0.0	0.09363295880149813	0.02153558052434457	0.04307116104868914	47.931179775280896	0.044627612328790735	49	COMPLETE
50	0.09597378277153558	2020-03-07 00:42:27.508872	2020-03-07 00:42:58.438096	256	2	0.001983801979580129	0.041981016927873684	128	0.0031951433474283818	1.0235259988108014	0.0	0.09597378277153558	0.020131086142322098	0.041666666666666664	49.431179775280896	0.04335343598893964	0.0	0.09597378277153558	0.020131086142322098	0.041666666666666664	49.431179775280896	0.04335343598893964	813031162	150.0	0.0	0.09597378277153558	0.020131086142322098	0.041666666666666664	49.431179775280896	0.04335343598893964	50	COMPLETE
51	0.09644194756554307	2020-03-07 00:42:58.450203	2020-03-07 00:44:12.113572	256	1	0.07214691392324465	0.12892062520571718	256	0.4526315829463471	1.0228506090426435	0.009363295880149813	0.09644194756554307	0.027153558052434457	0.046348314606741575	49.37991573033708	0.05079390463685357	0.009363295880149813	0.09644194756554307	0.027153558052434457	0.046348314606741575	49.379681647940075	0.05079437753058489	3003758486	400.0	0.009363295880149813	0.09644194756554307	0.027153558052434457	0.046348314606741575	49.38014981273408	0.05079345230371926	51	COMPLETE
52	0.09925093632958802	2020-03-07 00:44:12.127971	2020-03-07 00:44:42.994672	256	1	0.0017242664718665668	0.1902870994989772	128	0.37818184203601124	1.0080623868678449	0.0	0.09925093632958802	0.02247191011235955	0.05196629213483146	48.63974719101124	0.04571931471112101	0.0	0.09925093632958802	0.02247191011235955	0.05196629213483146	48.63951310861423	0.04571994651246246	3843039950	150.0	0.0	0.09925093632958802	0.02247191011235955	0.05196629213483146	48.63998127340824	0.04571871449984665	52	COMPLETE
53	0.09410112359550561	2020-03-07 00:44:43.006368	2020-03-07 00:45:04.947480	128	2	0.009564499251087417	0.08489167542958047	256	0.005038531759954971	1.019888821289934	0.0	0.09410112359550561	0.013576779026217229	0.033707865168539325	49.1750936329588	0.041598507317903814	0.0	0.09410112359550561	0.013576779026217229	0.033707865168539325	49.1750936329588	0.041598507317903814	2867913910	150.0	0.0	0.09410112359550561	0.013576779026217229	0.033707865168539325	49.1750936329588	0.041598507317903814	53	COMPLETE
54	0.09363295880149813	2020-03-07 00:45:04.959568	2020-03-07 00:45:36.052207	256	1	0.011266553343329206	0.013655791679119749	128	0.05034832788961287	1.021567579840174	0.0	0.09363295880149813	0.021067415730337078	0.03885767790262172	49.35814606741573	0.04267910345850834	0.0	0.09363295880149813	0.021067415730337078	0.03885767790262172	49.35814606741573	0.04267910345850834	3840801427	150.0	0.0	0.09363295880149813	0.021067415730337078	0.03885767790262172	49.35814606741573	0.04267910345850834	54	COMPLETE
55	0.10440074906367042	2020-03-07 00:45:36.064205	2020-03-07 00:46:07.340152	128	2	0.001963642886815861	0.14711398089369362	128	0.49760368261156646	0.9798249305864231	0.0	0.10440074906367042	0.023876404494382022	0.05149812734082397	47.254681647940075	0.04672976021957802	0.0	0.10440074906367042	0.023876404494382022	0.05149812734082397	47.254681647940075	0.04672976021957802	4286018487	150.0	0.0	0.10440074906367042	0.023876404494382022	0.05149812734082397	47.254681647940075	0.04672976021957802	55	COMPLETE
56	0.10252808988764045	2020-03-07 00:46:07.352105	2020-03-07 00:47:22.698271	64	1	0.06833643576274133	0.03435696595494979	128	0.002212585748791572	0.9988799845304493	0.013108614232209739	0.10252808988764045	0.033707865168539325	0.05383895131086142	48.18211610486891	0.05589036562898082	0.013108614232209739	0.10252808988764045	0.033707865168539325	0.05383895131086142	48.18211610486891	0.05589036562898082	1718656719	300.0	0.013108614232209739	0.10252808988764045	0.033707865168539325	0.05383895131086142	48.18211610486891	0.05589036562898082	56	COMPLETE
57	0.08895131086142322	2020-03-07 00:47:22.710051	2020-03-07 00:47:39.728076	64	2	0.006378332450818089	0.11464247683821278	512	0.030499499577374228	1.0098320415159792	0.0	0.08895131086142322	0.019194756554307114	0.03698501872659176	48.82116104868914	0.043250534477393666	0.0	0.08895131086142322	0.019194756554307114	0.03698501872659176	48.82116104868914	0.043250534477393666	3002990337	150.0	0.0	0.08895131086142322	0.019194756554307114	0.03698501872659176	48.82116104868914	0.043250534477393666	57	COMPLETE
58	0.1100187265917603	2020-03-07 00:47:39.740090	2020-03-07 00:49:54.756080	128	2	0.05915419391400787	0.0767525133985991	256	0.3232785656138695	1.0099850090347886	0.00749063670411985	0.1100187265917603	0.02762172284644195	0.0449438202247191	48.73361423220974	0.05046782769456151	0.00749063670411985	0.1100187265917603	0.02762172284644195	0.0449438202247191	48.73361423220974	0.05046782769456151	770969966	700.0	0.00749063670411985	0.1100187265917603	0.02762172284644195	0.0449438202247191	48.73361423220974	0.05046782769456151	58	COMPLETE
