number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
39	0.8614232209737828	2020-03-17 02:13:18.649575	2020-03-17 02:13:34.066228	64	0.04237868601494272	256	0.012707443922733548	0.12808150955831654	0.25046816479400746	0.8614232209737828	0.5402621722846442	0.6942883895131086	6.183988764044944	0.44174101562648316	0.25046816479400746	0.8614232209737828	0.5402621722846442	0.6942883895131086	6.183988764044944	0.44174101562648316	3393896175	200	0.25046816479400746	0.8614232209737828	0.5402621722846442	0.6942883895131086	6.183988764044944	0.44174101562648316	39	COMPLETE
40	0.8576779026217228	2020-03-17 02:13:34.092615	2020-03-17 02:13:51.365231	64	0.06490807887324902	512	0.0020265187575104373	0.1237395495622792	0.25749063670411987	0.8576779026217228	0.528558052434457	0.6867977528089888	5.961376404494382	0.4430004364650726	0.25749063670411987	0.8576779026217228	0.528558052434457	0.6867977528089888	5.961142322097379	0.44304725294447334	1991990301	250	0.25749063670411987	0.8576779026217228	0.528558052434457	0.6867977528089888	5.961610486891386	0.44296922547880546	40	COMPLETE
41	0.8347378277153558	2020-03-17 02:13:51.392472	2020-03-17 02:14:28.624495	128	0.020829062556899338	128	0.04418027769530251	0.13398322198637638	0.22144194756554308	0.8347378277153558	0.48080524344569286	0.6465355805243446	6.454588014981273	0.40682903228604367	0.22144194756554308	0.8347378277153558	0.48080524344569286	0.6465355805243446	6.454588014981273	0.40682903228604367	144474426	300	0.22144194756554308	0.8347378277153558	0.48080524344569286	0.6465355805243446	6.454588014981273	0.40682903228604367	41	COMPLETE
42	0.8220973782771536	2020-03-17 02:14:28.656242	2020-03-17 02:14:47.304945	128	0.039864836265047804	512	0.008753099995932025	0.14634582503395302	0.22191011235955055	0.8220973782771536	0.4953183520599251	0.6343632958801498	7.069990636704119	0.40500355459213117	0.22237827715355804	0.8220973782771536	0.4953183520599251	0.6343632958801498	7.069288389513108	0.4052844534685357	4045285410	250	0.22191011235955055	0.8220973782771536	0.4948501872659176	0.6343632958801498	7.0706928838951315	0.40493332987303005	42	COMPLETE
43	0.7036516853932584	2020-03-17 02:14:47.369539	2020-03-17 02:15:17.682591	128	0.0018022553679099646	128	0.04287183745070985	0.2190605739806517	0.16151685393258428	0.7036516853932584	0.37640449438202245	0.5131086142322098	10.559925093632959	0.3271793619032824	0.16151685393258428	0.7036516853932584	0.37640449438202245	0.5131086142322098	10.559925093632959	0.3271793619032824	3923251757	250	0.16151685393258428	0.7036516853932584	0.37640449438202245	0.5131086142322098	10.559925093632959	0.3271793619032824	43	COMPLETE
44	0.8033707865168539	2020-03-17 02:15:17.708865	2020-03-17 02:15:50.686718	64	0.003961030942455321	512	0.003017773799925954	0.1534206096051533	0.23876404494382023	0.8033707865168539	0.5187265917602997	0.6413857677902621	7.416666666666667	0.4201913606412325	0.23876404494382023	0.8033707865168539	0.5187265917602997	0.6413857677902621	7.416666666666667	0.4201913606412325	2672783779	450	0.23876404494382023	0.8033707865168539	0.5187265917602997	0.6413857677902621	7.416666666666667	0.4201913606412325	44	COMPLETE
45	0.8450374531835206	2020-03-17 02:15:50.713830	2020-03-17 02:16:12.869172	128	0.04039855411876625	128	0.012270237681441462	0.12833898767047608	0.2448501872659176	0.8450374531835206	0.5234082397003745	0.6718164794007491	6.17439138576779	0.4340622741371506	0.25234082397003743	0.8450374531835206	0.5252808988764045	0.6718164794007491	6.167134831460674	0.43728815250347836	339008411	200	0.2448501872659176	0.8450374531835206	0.5234082397003745	0.6718164794007491	6.181647940074907	0.43252847709773556	45	COMPLETE
46	0.7621722846441947	2020-03-17 02:16:12.895534	2020-03-17 02:16:45.706988	128	0.0021374791700336554	512	0.3290073239849196	0.17568357084347597	0.2144194756554307	0.7621722846441947	0.4639513108614232	0.5987827715355806	8.47940074906367	0.3887968603955734	0.2144194756554307	0.7621722846441947	0.4639513108614232	0.5987827715355806	8.47940074906367	0.3887968603955734	373301958	450	0.2144194756554307	0.7621722846441947	0.4639513108614232	0.5987827715355806	8.47940074906367	0.3887968603955734	46	COMPLETE
47	0.7921348314606742	2020-03-17 02:16:45.733935	2020-03-17 02:17:02.979442	256	0.0052831555198834534	512	0.005567044657098249	0.15946653889307286	0.20271535580524344	0.7921348314606742	0.4499063670411985	0.5795880149812734	7.669943820224719	0.37754922262217955	0.20271535580524344	0.7921348314606742	0.4499063670411985	0.5795880149812734	7.669943820224719	0.37754922262217955	3029524494	250	0.20271535580524344	0.7921348314606742	0.4499063670411985	0.5795880149812734	7.669943820224719	0.37754922262217955	47	COMPLETE
48	0.8422284644194756	2020-03-17 02:17:03.019379	2020-03-17 02:17:26.344143	256	0.09330488744967007	256	0.0012359329593865796	0.13452152633073317	0.23174157303370788	0.8422284644194756	0.5575842696629213	0.6928838951310862	6.4969569288389515	0.44609443641427055	0.37640449438202245	0.8422284644194756	0.5786516853932584	0.6952247191011236	6.312265917602996	0.5189656715046068	3834178041	250	0.23174157303370788	0.8412921348314607	0.524812734082397	0.675561797752809	6.681647940074907	0.4231403604756441	48	COMPLETE
